station_norm,n_samples,n_surface_types,top_surface,material_mode,reads_median,reads_p90,lat,lon
golders green,3,3,ticket_hall;ticket_machine,glass,319441.0,3436440.2,51.57228586,-0.19396566
clapham common,3,3,ticket_hall;ticket_machine,glass,301304.0,2979168.8000000003,51.46180336,-0.138295129
high barnet,3,3,ticket_hall;ticket_machine,wood,300445.0,3096853.8000000003,51.65065795,-0.194737478
old street,3,3,ticket_hall;ticket_machine,glass,294614.0,20710138.8,51.52567304,-0.087540958
blackhorse road,3,3,ticket_hall;ticket_machine,glass,291895.0,813959.0,51.58701271,-0.040984391
tottenham hale,3,3,ticket_hall;ticket_machine,glass,291059.0,1623664.6,51.58811284,-0.060276117
tufnell park,3,3,ticket_hall;ticket_machine,metal,286513.0,6574901.0,51.55673669,-0.137907511
colindale,3,3,ticket_hall;ticket_machine,metal_wood,259167.0,872143.0,51.59535142,-0.250108975
belsize park,3,3,ticket_hall;ticket_machine,glass,258828.0,1335044.8,51.55049384,-0.164212238
highgate,3,3,ticket_hall;ticket_machine,glass,252544.0,9393204.0,51.57765885,-0.146618543
west finchley,3,3,ticket_hall;ticket_machine,glass,232697.0,3103503.4000000004,51.60954907,-0.188445598
morden,3,3,ticket_hall;ticket_machine,glass,218531.0,385887.8,51.40241312,-0.194767862
mornington crescent,3,3,ticket_hall;ticket_machine,metal,210346.0,14985287.600000001,51.53427845,-0.138821617
camden town,3,3,ticket_hall;ticket_machine,glass,207213.0,4082777.8000000003,51.5394686,-0.142709548
hendon central,3,3,ticket_hall;ticket_machine,metal_wood,197372.0,1018181.6000000001,51.58335804,-0.226465843
burnt oak,3,3,ticket_hall;ticket_machine,metal_wood,188255.0,8491538.200000001,51.60273831,-0.264170829
kentish town,3,3,ticket_hall;ticket_machine,glass,175413.0,9154645.0,51.55036797,-0.140452418
angel,3,3,ticket_hall;ticket_machine,glass,105941.0,8144590.600000001,51.53257057,-0.105772295
clapham south,3,3,ticket_hall;ticket_machine,glass,76876.0,3723115.2,51.45267416,-0.14795997
balham,3,3,ticket_hall;ticket_machine,glass,14778.0,5769916.4,51.44340406,-0.153182996
west ham,2,2,handrail,metal,6131043.0,6459069.4,51.52825723,0.005040569
greenford,2,2,ticket_hall;ticket_machine,glass,5102031.0,5573860.6,51.54236162,-0.34641202
stratford,2,2,-,-,5037360.0,6589314.4,51.54137766,-0.003185389
walthamstow central,2,2,ticket_hall;ticket_machine,glass,2518079.0,3541171.0,51.58302266,-0.01991023
finchley road,2,2,handrail,metal,1375009.5,1435245.1,51.54713209,-0.18047382
wembley park,2,2,handrail,metal,1127268.0,1282810.4,51.56332139,-0.279220664
london bridge,2,2,handrail,metal,329328.5,334157.7,51.50557208,-0.086907553
kings cross stpancras,2,2,handrail,metal,152222.0,158462.8,51.53046702,-0.123838556
shepherds bush market,1,1,ticket_hall;ticket_machine,glass,2564333.0,2564333.0,51.50562676,-0.22628142
goldhawk road,1,1,ticket_hall;ticket_machine,glass,1747728.0,1747728.0,51.50202647,-0.226720989
wood lane,1,1,ticket_hall;ticket_machine,glass,541619.0,541619.0,51.50995828,-0.224245427
