uuid,city,station_name,latitude,longitude,surface_material,sample_type,num_reads,control_type
haib17CEM5106_HCY5HCCXY_SL270922,london,tower hill,51.5101391,-0.076335576,glass,environmental_microbiome,4229594.0,
haib17CEM5106_HCY5HCCXY_SL270923,london,aldgate east,51.51530072,-0.072274025,glass,environmental_microbiome,5155012.0,
haib17CEM5106_HCY5HCCXY_SL270924,london,whitechapel,51.51952926,-0.059968492,glass,environmental_microbiome,3905130.0,
haib17CEM5106_HCY5HCCXY_SL270925,london,stepney green,51.52197932,-0.046455251,glass,environmental_microbiome,5322841.0,
haib17CEM5106_HCY5HCCXY_SL270926,london,bow road,51.5268669,-0.024809606,glass,environmental_microbiome,3215845.0,
haib17CEM5106_HCY5HCCXY_SL270927,london,bromey-by-bow,51.52484277,-0.01165748,glass,environmental_microbiome,4211041.0,
haib17CEM5106_HCY5HCCXY_SL270928,london,plaistow,51.53128621,0.017807961,glass,environmental_microbiome,3975593.0,
haib17CEM5106_HCY5HCCXY_SL270905,london,stamford brook,51.49486533,-0.245421899,glass,environmental_microbiome,672151.0,
haib17CEM5106_HCY5HCCXY_SL270929,london,upton park,51.53530067,0.035269676,glass,environmental_microbiome,3964224.0,
haib17CEM5106_HCY5HCCXY_SL270930,london,east ham,51.5389967,0.051467145,glass,environmental_microbiome,4197994.0,
haib17CEM5106_HCY5HCCXY_SL270931,london,barking,51.53952056,0.080855743,glass,environmental_microbiome,4017737.0,
haib17CEM5106_HCY5HCCXY_SL270932,london,upney,51.53840422,0.101558788,glass,environmental_microbiome,4445892.0,
haib17CEM5106_HCY5HCCXY_SL270933,london,richmond,51.46323213,-0.301717924,glass,environmental_microbiome,4340954.0,
haib17CEM5106_HCY5HCCXY_SL270934,london,kew gardens,51.47709778,-0.285212918,glass,environmental_microbiome,3796518.0,
haib17CEM5106_HCY5HCCXY_SL270935,london,gunnersbury,51.49186736,-0.275147144,glass,environmental_microbiome,3030811.0,
haib17CEM5106_HCY5HCCXY_SL270936,london,wimbledon,51.42146487,-0.206353858,glass,environmental_microbiome,4208320.0,
haib17CEM5106_HCY5HCCXY_SL270937,london,wimbledon park,51.43453896,-0.199572031,glass,environmental_microbiome,4047047.0,
haib17CEM5106_HCY5HCCXY_SL270938,london,southfields,51.44500591,-0.206514155,glass,environmental_microbiome,3739175.0,
haib17CEM5106_HCY5HCCXY_SL270906,london,ravenscourt brook,51.49421127,-0.236225664,glass,environmental_microbiome,3334187.0,
haib17CEM5106_HCY5HCCXY_SL270939,london,east putney,51.45887883,-0.210975744,glass,environmental_microbiome,3654625.0,
haib17CEM5106_HCY5HCCXY_SL270940,london,putney bridge,51.46797822,-0.208948328,glass,environmental_microbiome,3654549.0,
haib17CEM5106_HCY5HCCXY_SL270941,london,parsons green,51.47517266,-0.201208748,glass,environmental_microbiome,3432051.0,
haib17CEM5106_HCY5HCCXY_SL270942,london,fulham broadway,51.48059868,-0.194937978,glass,environmental_microbiome,3406621.0,
haib17CEM5106_HCY5HCCXY_SL270943,london,west brompton,51.487287,0.195491,glass,environmental_microbiome,3772515.0,
haib17CEM5106_HCY5HCCXY_SL270944,london,high st kensington,51.50074572,-0.192480691,glass,environmental_microbiome,4209339.0,
haib17CEM5106_HCY5HCCXY_SL270945,london,notting hill gate,51.50913507,-0.196517879,glass,environmental_microbiome,3617568.0,
haib17CEM5106_HCY5HCCXY_SL270946,london,bayswater,51.51229975,-0.188009447,glass,environmental_microbiome,2890810.0,
haib17CEM5106_HCY5HCCXY_SL270947,london,edgeware road,51.52025012,-0.17010672,glass,environmental_microbiome,2851926.0,
haib17CEM5106_HCY5HCCXY_SL270907,london,hammersmith,51.49357272,-0.224892685,glass,environmental_microbiome,3470690.0,
haib17CEM5106_HCY5HCCXY_SL270908,london,barons court,51.49022739,-0.213576608,glass,environmental_microbiome,3173380.0,
haib17CEM5106_HCY5HCCXY_SL270909,london,west kensington,51.49056563,-0.206454516,glass,environmental_microbiome,3768879.0,
haib17CEM5106_HCY5HCCXY_SL270910,london,earl's court,51.49187618,-0.193526047,glass,environmental_microbiome,3693404.0,
haib17CEM5106_HCY5HCCXY_SL270911,london,gloucester road,51.49431275,-0.182960687,glass,environmental_microbiome,2618457.0,
haib17CEM5106_HCCGHCCXY_SL270495,london,harrow-on-the-hill,51.57939273,-0.336973212,glass,environmental_microbiome,6136227.0,
haib17CEM5106_HCCGHCCXY_SL270500,london,farringdon,51.52051764,-0.10505032,glass,environmental_microbiome,1012204.0,
haib17CEM5106_HCCGHCCXY_SL270501,london,barbican,51.52021342,-0.097698591,glass,environmental_microbiome,1111728.0,
haib17CEM5106_HCCGHCCXY_SL270502,london,moorgate,51.51843415,-0.088988842,glass,environmental_microbiome,2400141.0,
haib17CEM5106_HCCGHCCXY_SL270503,london,liverpool street,51.51742113,-0.082958757,glass,environmental_microbiome,1332616.0,
haib17CEM5106_HCCGHCCXY_SL270504,london,aldgate,51.51434282,-0.075600611,glass,environmental_microbiome,1273680.0,
haib17CEM5106_HCCGHCCXY_SL270496,london,northwick park,51.57865118,-0.318174443,glass,environmental_microbiome,3064543.0,
haib17CEM5106_HCCGHCCXY_SL270497,london,preston road,51.5720977,-0.295226402,glass,environmental_microbiome,2831728.0,
haib17CEM5106_HCCGHCCXY_SL270498,london,great portland street,51.52378935,-0.14393025,glass,environmental_microbiome,1090771.0,
haib17CEM5106_HCCGHCCXY_SL270499,london,euston square,51.52562663,-0.135824263,glass,environmental_microbiome,1393689.0,
haib17CEM5106_HCCGHCCXY_SL270279,london,high barnet,51.65065795,-0.194737478,glass,environmental_microbiome,3795956.0,
haib17CEM5106_HCCGHCCXY_SL270288,london,kentish town,51.55036797,-0.140452418,glass,environmental_microbiome,11399453.0,
haib17CEM5106_HCCGHCCXY_SL270289,london,camden town,51.5394686,-0.142709548,glass,environmental_microbiome,5051669.0,
haib17CEM5106_HCCGHCCXY_SL270290,london,mornington crescent,51.53427845,-0.138821617,glass,environmental_microbiome,18679023.0,
